timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727365809143,2679,HTTP Request,201,Created,Thread Group 1-1,text,true,,314,230,100,100,http://127.0.0.1:4001/register,2679,0,3
1727365811825,8315,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:4001 failed to respond,Thread Group 1-1,text,false,,2080,0,100,100,http://127.0.0.1:4001/login,0,0,0
1727365809168,14805,HTTP Request,201,Created,Thread Group 1-2,text,true,,314,230,100,100,http://127.0.0.1:4001/register,14805,0,2
1727365809184,14795,HTTP Request,201,Created,Thread Group 1-3,text,true,,314,230,100,100,http://127.0.0.1:4001/register,14795,0,2
1727365809214,14775,HTTP Request,201,Created,Thread Group 1-6,text,true,,314,230,100,100,http://127.0.0.1:4001/register,14775,0,3
1727365809227,14770,HTTP Request,201,Created,Thread Group 1-8,text,true,,314,230,100,100,http://127.0.0.1:4001/register,14770,0,1
1727365809228,14779,HTTP Request,201,Created,Thread Group 1-7,text,true,,314,230,100,100,http://127.0.0.1:4001/register,14778,0,0
1727365809259,14756,HTTP Request,201,Created,Thread Group 1-10,text,true,,314,231,100,100,http://127.0.0.1:4001/register,14756,0,2
1727365809198,14826,HTTP Request,201,Created,Thread Group 1-5,text,true,,314,230,100,100,http://127.0.0.1:4001/register,14826,0,2
1727365809259,14771,HTTP Request,201,Created,Thread Group 1-11,text,true,,314,231,100,100,http://127.0.0.1:4001/register,14771,0,2
1727365809264,14770,HTTP Request,201,Created,Thread Group 1-12,text,true,,314,231,100,100,http://127.0.0.1:4001/register,14770,0,1
1727365809243,14797,HTTP Request,201,Created,Thread Group 1-9,text,true,,314,230,100,100,http://127.0.0.1:4001/register,14797,0,1
1727365809272,14772,HTTP Request,201,Created,Thread Group 1-13,text,true,,314,231,100,100,http://127.0.0.1:4001/register,14772,0,2
1727365809280,15110,HTTP Request,201,Created,Thread Group 1-14,text,true,,314,231,100,100,http://127.0.0.1:4001/register,15110,0,2
1727365809285,15111,HTTP Request,201,Created,Thread Group 1-16,text,true,,314,231,100,100,http://127.0.0.1:4001/register,15111,0,2
1727365809197,15206,HTTP Request,201,Created,Thread Group 1-4,text,true,,314,230,100,100,http://127.0.0.1:4001/register,15206,0,2
1727365809288,15120,HTTP Request,201,Created,Thread Group 1-15,text,true,,314,231,100,100,http://127.0.0.1:4001/register,15120,0,2
1727365809307,15107,HTTP Request,201,Created,Thread Group 1-17,text,true,,314,231,100,100,http://127.0.0.1:4001/register,15107,0,2
1727365809307,15121,HTTP Request,201,Created,Thread Group 1-18,text,true,,314,231,100,100,http://127.0.0.1:4001/register,15120,0,2
1727365809328,15112,HTTP Request,201,Created,Thread Group 1-19,text,true,,314,231,100,100,http://127.0.0.1:4001/register,15112,0,2
1727365809338,15120,HTTP Request,201,Created,Thread Group 1-20,text,true,,314,231,100,100,http://127.0.0.1:4001/register,15120,0,2
1727365809337,15131,HTTP Request,201,Created,Thread Group 1-21,text,true,,314,231,100,100,http://127.0.0.1:4001/register,15131,0,3
1727365809367,15107,HTTP Request,201,Created,Thread Group 1-24,text,true,,314,231,100,100,http://127.0.0.1:4001/register,15107,0,1
1727365809581,14899,HTTP Request,201,Created,Thread Group 1-45,text,true,,314,231,100,100,http://127.0.0.1:4001/register,14899,0,2
1727365809590,14895,HTTP Request,201,Created,Thread Group 1-46,text,true,,314,231,100,100,http://127.0.0.1:4001/register,14895,0,2
1727365809617,14873,HTTP Request,201,Created,Thread Group 1-49,text,true,,314,231,100,100,http://127.0.0.1:4001/register,14873,0,1
1727365809670,14825,HTTP Request,201,Created,Thread Group 1-54,text,true,,314,231,100,100,http://127.0.0.1:4001/register,14825,0,2
1727365809746,14757,HTTP Request,201,Created,Thread Group 1-62,text,true,,314,231,100,100,http://127.0.0.1:4001/register,14757,0,1
1727365809756,14755,HTTP Request,201,Created,Thread Group 1-63,text,true,,314,231,100,100,http://127.0.0.1:4001/register,14755,0,2
1727365809777,14745,HTTP Request,201,Created,Thread Group 1-65,text,true,,314,231,100,100,http://127.0.0.1:4001/register,14745,0,2
1727365809828,14702,HTTP Request,201,Created,Thread Group 1-70,text,true,,314,231,100,100,http://127.0.0.1:4001/register,14702,0,1
1727365809869,14667,HTTP Request,201,Created,Thread Group 1-73,text,true,,314,231,100,100,http://127.0.0.1:4001/register,14667,0,2
1727365809876,14666,HTTP Request,201,Created,Thread Group 1-74,text,true,,314,231,100,100,http://127.0.0.1:4001/register,14666,0,1
1727365809888,14661,HTTP Request,201,Created,Thread Group 1-75,text,true,,314,231,100,100,http://127.0.0.1:4001/register,14661,0,2
1727365809916,14641,HTTP Request,201,Created,Thread Group 1-78,text,true,,314,231,100,100,http://127.0.0.1:4001/register,14641,0,1
1727365809925,14641,HTTP Request,201,Created,Thread Group 1-79,text,true,,314,231,100,100,http://127.0.0.1:4001/register,14641,0,2
1727365809995,14577,HTTP Request,201,Created,Thread Group 1-86,text,true,,314,231,100,100,http://127.0.0.1:4001/register,14577,0,1
1727365809458,15314,HTTP Request,201,Created,Thread Group 1-33,text,true,,314,231,100,100,http://127.0.0.1:4001/register,15314,0,1
1727365809469,15311,HTTP Request,201,Created,Thread Group 1-34,text,true,,314,231,100,100,http://127.0.0.1:4001/register,15311,0,2
1727365809428,15378,HTTP Request,201,Created,Thread Group 1-30,text,true,,314,231,100,100,http://127.0.0.1:4001/register,15378,0,3
1727365809419,15396,HTTP Request,201,Created,Thread Group 1-29,text,true,,314,231,100,100,http://127.0.0.1:4001/register,15395,0,2
1727365809449,15383,HTTP Request,201,Created,Thread Group 1-32,text,true,,314,231,100,100,http://127.0.0.1:4001/register,15382,0,2
1727365809381,15461,HTTP Request,201,Created,Thread Group 1-25,text,true,,314,231,100,100,http://127.0.0.1:4001/register,15461,0,2
1727365809389,15465,HTTP Request,201,Created,Thread Group 1-26,text,true,,314,231,100,100,http://127.0.0.1:4001/register,15465,0,2
