timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727366206376,378,HTTP Request,201,Created,Thread Group 2-2,text,true,,312,3206,13,26,http://127.0.0.1:4000/submit,378,0,24
1727366206436,671,HTTP Request,201,Created,Thread Group 2-4,text,true,,312,3214,24,48,http://127.0.0.1:4000/submit,671,0,6
1727366206468,917,HTTP Request,201,Created,Thread Group 2-5,text,true,,312,3198,30,60,http://127.0.0.1:4000/submit,917,0,6
1727366206526,1035,HTTP Request,201,Created,Thread Group 2-7,text,true,,312,3190,30,60,http://127.0.0.1:4000/submit,1035,0,4
1727366206498,1235,HTTP Request,201,Created,Thread Group 2-6,text,true,,312,3206,30,54,http://127.0.0.1:4000/submit,1235,0,3
1727366206558,1354,HTTP Request,201,Created,Thread Group 2-8,text,true,,312,3230,30,54,http://127.0.0.1:4000/submit,1353,0,4
1727366206343,1727,HTTP Request,201,Created,Thread Group 2-1,text,true,,312,3238,30,54,http://127.0.0.1:4000/submit,1727,0,57
1727366206622,1467,HTTP Request,201,Created,Thread Group 2-10,text,true,,312,3200,30,54,http://127.0.0.1:4000/submit,1467,0,7
1727366206406,1692,HTTP Request,201,Created,Thread Group 2-3,text,true,,312,3174,30,54,http://127.0.0.1:4000/submit,1692,0,4
1727366206755,1485,HTTP Request,201,Created,Thread Group 2-2,text,true,,312,3230,30,54,http://127.0.0.1:4000/submit,1484,0,0
1727366206686,1573,HTTP Request,201,Created,Thread Group 2-12,text,true,,312,3168,30,54,http://127.0.0.1:4000/submit,1573,0,6
1727366206727,1542,HTTP Request,201,Created,Thread Group 2-13,text,true,,312,3168,30,54,http://127.0.0.1:4000/submit,1542,0,3
1727366206764,1648,HTTP Request,201,Created,Thread Group 2-14,text,true,,312,3240,30,54,http://127.0.0.1:4000/submit,1647,0,3
1727366206795,1639,HTTP Request,201,Created,Thread Group 2-15,text,true,,312,3200,30,54,http://127.0.0.1:4000/submit,1639,0,3
1727366206830,1615,HTTP Request,201,Created,Thread Group 2-16,text,true,,312,3240,30,54,http://127.0.0.1:4000/submit,1614,0,2
1727366206861,1723,HTTP Request,201,Created,Thread Group 2-17,text,true,,312,3240,30,54,http://127.0.0.1:4000/submit,1723,0,3
1727366206896,1708,HTTP Request,201,Created,Thread Group 2-18,text,true,,312,3184,30,54,http://127.0.0.1:4000/submit,1708,0,2
1727366206930,1689,HTTP Request,201,Created,Thread Group 2-19,text,true,,312,3216,30,54,http://127.0.0.1:4000/submit,1689,0,4
1727366206960,1792,HTTP Request,201,Created,Thread Group 2-20,text,true,,312,3240,30,54,http://127.0.0.1:4000/submit,1791,0,3
1727366206992,1781,HTTP Request,201,Created,Thread Group 2-21,text,true,,312,3232,30,54,http://127.0.0.1:4000/submit,1781,0,3
1727366207026,1767,HTTP Request,201,Created,Thread Group 2-22,text,true,,312,3184,30,54,http://127.0.0.1:4000/submit,1767,0,3
1727366207059,1864,HTTP Request,201,Created,Thread Group 2-23,text,true,,312,3232,30,54,http://127.0.0.1:4000/submit,1864,0,4
1727366207093,1852,HTTP Request,201,Created,Thread Group 2-24,text,true,,312,3184,30,54,http://127.0.0.1:4000/submit,1852,0,3
1727366206593,2375,HTTP Request,201,Created,Thread Group 2-9,text,true,,312,3230,30,54,http://127.0.0.1:4000/submit,2375,0,5
1727366207128,1848,HTTP Request,201,Created,Thread Group 2-25,text,true,,312,3184,30,54,http://127.0.0.1:4000/submit,1848,0,3
1727366206654,2334,HTTP Request,201,Created,Thread Group 2-11,text,true,,312,3192,30,54,http://127.0.0.1:4000/submit,2334,0,4
1727366207192,1900,HTTP Request,201,Created,Thread Group 2-27,text,true,,312,3200,30,54,http://127.0.0.1:4000/submit,1899,0,2
1727366207225,1895,HTTP Request,201,Created,Thread Group 2-28,text,true,,312,3200,30,54,http://127.0.0.1:4000/submit,1895,0,3
1727366207259,1880,HTTP Request,201,Created,Thread Group 2-29,text,true,,312,3240,30,54,http://127.0.0.1:4000/submit,1880,0,2
1727366207386,1773,HTTP Request,201,Created,Thread Group 2-5,text,true,,312,3182,30,54,http://127.0.0.1:4000/submit,1773,0,0
1727366207297,1869,HTTP Request,201,Created,Thread Group 2-30,text,true,,312,3160,30,54,http://127.0.0.1:4000/submit,1869,0,3
1727366207566,1693,HTTP Request,201,Created,Thread Group 2-7,text,true,,312,3190,30,54,http://127.0.0.1:4000/submit,1693,0,0
1727366207733,1556,HTTP Request,201,Created,Thread Group 2-6,text,true,,312,3214,30,54,http://127.0.0.1:4000/submit,1556,0,0
1727366207914,1392,HTTP Request,201,Created,Thread Group 2-8,text,true,,312,3190,30,54,http://127.0.0.1:4000/submit,1392,0,0
1727366208071,1252,HTTP Request,201,Created,Thread Group 2-1,text,true,,312,3182,30,54,http://127.0.0.1:4000/submit,1252,0,0
1727366208090,1247,HTTP Request,201,Created,Thread Group 2-10,text,true,,312,3224,30,54,http://127.0.0.1:4000/submit,1247,0,0
1727366208099,1328,HTTP Request,201,Created,Thread Group 2-3,text,true,,312,3222,30,54,http://127.0.0.1:4000/submit,1328,0,0
1727366208240,1218,HTTP Request,201,Created,Thread Group 2-2,text,true,,312,3166,30,54,http://127.0.0.1:4000/submit,1218,0,0
1727366208260,1214,HTTP Request,201,Created,Thread Group 2-12,text,true,,312,3160,30,54,http://127.0.0.1:4000/submit,1214,0,0
1727366208270,1218,HTTP Request,201,Created,Thread Group 2-13,text,true,,312,3216,30,54,http://127.0.0.1:4000/submit,1218,0,0
1727366208412,1095,HTTP Request,201,Created,Thread Group 2-14,text,true,,312,3200,30,54,http://127.0.0.1:4000/submit,1095,0,0
1727366208435,1161,HTTP Request,201,Created,Thread Group 2-15,text,true,,312,3176,30,54,http://127.0.0.1:4000/submit,1161,0,0
1727366208446,1180,HTTP Request,201,Created,Thread Group 2-16,text,true,,312,3176,30,54,http://127.0.0.1:4000/submit,1180,0,0
1727366208585,1052,HTTP Request,201,Created,Thread Group 2-17,text,true,,312,3184,30,54,http://127.0.0.1:4000/submit,1052,0,0
1727366208605,1051,HTTP Request,201,Created,Thread Group 2-18,text,true,,312,3232,30,54,http://127.0.0.1:4000/submit,1051,0,0
1727366208620,1060,HTTP Request,201,Created,Thread Group 2-19,text,true,,312,3184,30,54,http://127.0.0.1:4000/submit,1060,0,0
1727366208753,1013,HTTP Request,201,Created,Thread Group 2-20,text,true,,312,3208,30,54,http://127.0.0.1:4000/submit,1013,0,0
1727366208924,898,HTTP Request,201,Created,Thread Group 2-23,text,true,,312,3184,30,54,http://127.0.0.1:4000/submit,898,0,0
1727366208785,1011,HTTP Request,201,Created,Thread Group 2-21,text,true,,312,3200,30,54,http://127.0.0.1:4000/submit,1010,0,0
1727366208794,1011,HTTP Request,201,Created,Thread Group 2-22,text,true,,312,3176,30,54,http://127.0.0.1:4000/submit,1011,0,0
1727366207109,2730,HTTP Request,201,Created,Thread Group 2-4,text,true,,312,3182,30,54,http://127.0.0.1:4000/submit,2730,0,0
1727366208971,892,HTTP Request,201,Created,Thread Group 2-9,text,true,,312,3174,30,54,http://127.0.0.1:4000/submit,892,0,0
1727366207159,2736,HTTP Request,201,Created,Thread Group 2-26,text,true,,312,3208,30,54,http://127.0.0.1:4000/submit,2736,0,4
1727366208989,946,HTTP Request,201,Created,Thread Group 2-11,text,true,,312,3160,30,54,http://127.0.0.1:4000/submit,946,0,0
1727366209092,878,HTTP Request,201,Created,Thread Group 2-27,text,true,,312,3168,30,54,http://127.0.0.1:4000/submit,878,0,0
1727366209122,852,HTTP Request,201,Created,Thread Group 2-28,text,true,,312,3184,30,54,http://127.0.0.1:4000/submit,851,0,0
1727366209140,850,HTTP Request,201,Created,Thread Group 2-29,text,true,,312,3208,30,54,http://127.0.0.1:4000/submit,850,0,0
1727366209160,848,HTTP Request,201,Created,Thread Group 2-5,text,true,,312,3190,30,54,http://127.0.0.1:4000/submit,848,0,0
1727366209166,871,HTTP Request,201,Created,Thread Group 2-30,text,true,,312,3160,30,54,http://127.0.0.1:4000/submit,871,0,0
1727366209260,813,HTTP Request,201,Created,Thread Group 2-7,text,true,,312,3214,30,54,http://127.0.0.1:4000/submit,812,0,0
1727366209299,811,HTTP Request,201,Created,Thread Group 2-6,text,true,,312,3222,30,54,http://127.0.0.1:4000/submit,811,0,0
1727366209306,834,HTTP Request,201,Created,Thread Group 2-8,text,true,,312,3190,30,54,http://127.0.0.1:4000/submit,834,0,0
1727366209324,820,HTTP Request,201,Created,Thread Group 2-1,text,true,,312,3158,30,54,http://127.0.0.1:4000/submit,820,0,0
1727366209337,820,HTTP Request,201,Created,Thread Group 2-10,text,true,,312,3208,30,54,http://127.0.0.1:4000/submit,820,0,0
1727366209429,746,HTTP Request,201,Created,Thread Group 2-3,text,true,,312,3182,30,54,http://127.0.0.1:4000/submit,746,0,0
1727366209459,750,HTTP Request,201,Created,Thread Group 2-2,text,true,,312,3238,30,54,http://127.0.0.1:4000/submit,750,0,0
1727366209475,767,HTTP Request,201,Created,Thread Group 2-12,text,true,,312,3160,29,53,http://127.0.0.1:4000/submit,767,0,0
1727366209489,800,HTTP Request,201,Created,Thread Group 2-13,text,true,,312,3200,29,53,http://127.0.0.1:4000/submit,800,0,0
1727366209508,804,HTTP Request,201,Created,Thread Group 2-14,text,true,,312,3240,29,53,http://127.0.0.1:4000/submit,804,0,0
